co_gt,pt08_s1_co,c6h6_gt,pt08_s2_nmhc,nox_gt,pt08_s3_nox,no2_gt,pt08_s4_no2,pt08_s5_o3,t,rh,ah,Datetime
-1.012285196,-0.441540131,-1.187363686,-1.550609401,-1.068429587,3.749708284,-1.603808943,-0.691980746,-1.462705526,-0.847383923,0.635523405,-0.596797016,3/11/2004 4:00
-0.699965445,0.162569984,-0.933048767,-1.027852245,-0.696125229,2.501020808,-0.605556791,-0.288895788,-0.76253447,-0.836005898,0.583766456,-0.608758338,3/11/2004 7:00
-0.075325944,1.021042254,-0.290568971,-0.157834978,-0.328655993,1.153352009,0.018350803,0.216379723,0.151373014,-0.767737751,0.457249469,-0.611001085,3/11/2004 8:00
-0.422347889,0.32154633,-0.692118843,-0.673124175,-0.710630594,1.884291019,-0.397587593,-0.223607379,-0.907482162,-0.801871825,0.486003329,-0.62495596,3/11/2004 11:00
0.063482834,0.916572083,-0.183489005,-0.034613648,-0.280304777,0.947775413,0.309507681,0.585401163,-0.231878512,-1.052188364,1.745422426,-0.269605037,3/11/2004 15:00
0.063482834,0.83481282,-0.250413983,-0.113027221,-0.236788683,1.027721867,0.41349228,0.426438081,-0.204854366,-0.892896021,1.250856023,-0.321686624,3/11/2004 16:00
3.325489115,3.033228578,2.306120205,2.037745079,0.681884408,-0.498874711,1.266165993,2.532698919,1.630330823,-0.892896021,1.141591352,-0.383985173,3/11/2004 19:00
1.243357446,0.930198627,0.351910825,0.499345448,-0.009537971,0.471903661,0.517476879,0.755718751,0.600956534,-0.961164168,0.836800429,-0.608259949,3/11/2004 21:00
-0.769369834,-0.886673901,-1.013358741,-1.169743473,-0.942716427,2.786543859,-1.208667466,-0.535856291,-1.199834287,-1.063566388,0.652775721,-0.798145927,3/11/2004 23:00
-0.283539111,-0.12812962,-0.571653881,-0.512563048,-0.580082312,1.602574942,-0.293602994,-0.186705235,-0.551254783,-1.052188364,0.520507962,-0.852719456,3/12/2004 0:00
-0.144730333,-0.291648148,-0.504728903,-0.422947535,-0.526895975,1.575926124,-0.023243036,-0.178189356,-0.511946934,-1.120456511,0.589517228,-0.885114701,3/12/2004 1:00
1.590379391,2.174756309,1.034545609,1.096782198,0.314415171,0.243485221,0.621461478,1.303573659,0.883481697,-1.165968609,0.78504348,-0.83751861,3/12/2004 8:00
0.549313556,1.11188588,0.539300766,0.671108513,-0.251294048,0.338659571,0.309507681,0.849393425,0.242272414,-0.198836526,-0.715908047,-0.809858054,3/12/2004 15:00
1.243357446,1.825008347,1.221935549,1.249875365,-0.173932103,-0.08010757,0.787836837,1.331959924,0.908049102,-0.278482697,-0.566387971,-0.770983759,3/12/2004 18:00
0.96573989,1.706911633,0.552685762,0.689778412,0.053318609,0.022680728,0.579867638,0.801136775,1.107045087,-0.744981702,0.555012595,-0.528268612,3/12/2004 22:00
-0.526454473,0.176196528,-0.531498894,-0.452819373,-0.642938892,1.138124113,-0.584759872,-0.081676056,-0.118868446,-1.200102682,1.245105251,-0.673299635,3/13/2004 4:00
0.410504778,1.034668798,0.218060868,0.376124118,0.067823973,0.388150233,-0.314399914,0.673398584,0.372479663,-1.256992805,1.273859112,-0.726377998,3/13/2004 8:00
1.382166224,1.97035815,0.793615685,0.902615254,0.261228835,-0.095335466,0.975009115,0.962938483,1.333065217,-0.221592575,-0.416867896,-0.600285735,3/13/2004 11:00
1.035144279,1.557019649,0.512530774,0.652438615,-0.014373093,0.159731793,1.037399875,0.67623721,0.85154407,0.096992112,-0.899932755,-0.69024484,3/13/2004 12:00
